client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,predicted_cluster_id,predicted_cluster_name
C0048,Individual,Jace,Madden,1975-01-01,Female,Russia,Georgia,Investment,3,Yes,Direct,C1,Global Investor
C0049,Individual,Jair,Ewing,1975-01-01,Male,Denmark,New York,Investment,3.7,No,Corporate,C1,Global Investor
C0050,Individual,Matilda,Walter,1975-01-01,Female,Australia,Florida,Investment,4.4,Yes,Website,C1,Global Investor
C0051,Individual,Myla,Franco,1975-01-01,Male,USA,Utah,Investment,3,No,Agency,C1,Global Investor
C0052,Individual,Miguel,Mora,1975-01-01,Female,USA,Ohio,Personal Use,3.7,Yes,Client,C2,First-Time Buyer
C0053,Individual,Mara,Kennedy,1975-01-01,Male,USA,London,Personal Use,4.4,No,Direct,C4,Luxury Investor
C0054,Individual,Erik,Palmer,1975-01-01,Female,USA,Berlin,Investment,3,Yes,Corporate,C2,First-Time Buyer
C0055,Individual,Henry,Vega,1975-01-01,Male,USA,Paris,Personal Use,3.7,No,Website,C1,Global Investor
C0056,Individual,Oswaldo,Glass,1975-01-01,Female,USA,Ontario,Personal Use,4.4,Yes,Agency,C2,First-Time Buyer
C0057,Individual,Kassidy,Carr,1975-01-01,Male,USA,Quebec,Investment,3,No,Client,C1,Global Investor
C0058,Individual,Morgan,Marquez,1975-01-01,Female,USA,Brussels,Personal Use,3.7,Yes,Direct,C2,First-Time Buyer
C0059,Individual,Tyler,Brown,1975-01-01,Male,UK,Dubai,Investment,4.4,No,Corporate,C1,Global Investor
C0060,Individual,Yesenia,Ramirez,1975-01-01,Female,Canada,California,Investment,3,Yes,Website,C1,Global Investor
C0061,Individual,Gordon,Holland,1975-01-01,Male,Germany,Nevada,Investment,3.7,No,Agency,C1,Global Investor
C0062,Individual,Melanie,Cardenas,1975-01-01,Female,France,Arizona,Investment,4.4,Yes,Client,C1,Global Investor
C0063,Individual,Enrique,Williamson,1975-01-01,Male,Belgium,Colorado,Investment,3,No,Direct,C1,Global Investor
C0064,Individual,Helen,Rios,1975-01-01,Female,Mexico,Oregon,Investment,3.7,Yes,Corporate,C1,Global Investor
C0065,Individual,Isis,Nielsen,1975-01-01,Male,Russia,Washington,Investment,4.4,No,Website,C1,Global Investor
C0066,Individual,Kayley,Flowers,1975-01-01,Female,Denmark,Texas,Investment,3,Yes,Agency,C1,Global Investor
C0067,Individual,Donavan,Hinton,1975-01-01,Male,Australia,Virginia,Investment,3.7,No,Client,C1,Global Investor
C0068,Individual,Augustus,Greer,1975-01-01,Female,USA,Georgia,Personal Use,4.4,Yes,Direct,C2,First-Time Buyer
C0069,Individual,Alejandra,Nixon,1975-01-01,Male,USA,New York,Investment,3,No,Corporate,C1,Global Investor
C0070,Individual,Violet,Berger,1975-01-01,Female,USA,Florida,Personal Use,3.7,Yes,Website,C2,First-Time Buyer
C0071,Individual,Jaelyn,Fuller,1975-01-01,Male,USA,Utah,Personal Use,4.4,No,Agency,C4,Luxury Investor
C0072,Individual,Tristian,Costa,1975-01-01,Female,USA,Ohio,Investment,3,Yes,Client,C2,First-Time Buyer
C0073,Individual,Christian,Lynch,1975-01-01,Male,USA,London,Personal Use,3.7,No,Direct,C1,Global Investor
C0074,Individual,Nora,Shea,1975-01-01,Female,USA,Berlin,Personal Use,4.4,Yes,Corporate,C2,First-Time Buyer
C0075,Individual,Dangelo,Christensen,1975-01-01,Male,USA,Paris,Investment,3,No,Website,C1,Global Investor
C0076,Corporate,Esther,Co,1975-01-01,Other,UK,Ontario,Investment,3.7,No,Agency,C3,Corporate Buyer
C0077,Individual,Sidney,Owen,1975-01-01,Male,Canada,Quebec,Investment,4.4,No,Client,C1,Global Investor
C0078,Individual,Kaitlin,Edwards,1975-01-01,Female,Germany,Brussels,Investment,3,Yes,Direct,C1,Global Investor
C0079,Individual,Issac,Merritt,1975-01-01,Male,France,Dubai,Investment,3.7,No,Corporate,C1,Global Investor
C0080,Individual,Zaiden,Larsen,1975-01-01,Female,Belgium,California,Investment,4.4,Yes,Website,C1,Global Investor
C0081,Individual,Iris,Stein,1975-01-01,Male,Mexico,Nevada,Investment,3,No,Agency,C1,Global Investor
C0082,Individual,Grace,Perry,1975-01-01,Female,Russia,Arizona,Investment,3.7,Yes,Client,C1,Global Investor
C0083,Individual,Alessandra,Mueller,1975-01-01,Male,Denmark,Colorado,Investment,4.4,No,Direct,C1,Global Investor
C0084,Individual,Jamal,Ellis,1975-01-01,Female,Australia,Oregon,Investment,3,Yes,Corporate,C1,Global Investor
C0085,Individual,Irvin,Forbes,1975-01-01,Male,USA,Washington,Personal Use,3.7,No,Website,C1,Global Investor
C0086,Individual,Terry,Grant,1975-01-01,Female,USA,Texas,Personal Use,4.4,Yes,Agency,C2,First-Time Buyer
C0087,Individual,Jacqueline,Fischer,1975-01-01,Male,USA,Virginia,Investment,3,No,Client,C1,Global Investor
C0088,Individual,Brock,Howard,1975-01-01,Female,USA,Georgia,Personal Use,3.7,Yes,Direct,C2,First-Time Buyer
C0089,Individual,Curtis,Huang,1975-01-01,Male,USA,New York,Personal Use,4.4,No,Corporate,C4,Luxury Investor
C0090,Individual,Avah,Meyer,1975-01-01,Female,USA,Florida,Investment,3,Yes,Website,C2,First-Time Buyer
C0091,Individual,Frank,Dorsey,1975-01-01,Male,USA,Utah,Personal Use,3.7,No,Agency,C1,Global Investor
C0092,Individual,Darien,Mack,1975-01-01,Female,USA,Ohio,Personal Use,4.4,Yes,Client,C2,First-Time Buyer
C0093,Individual,Franklin,Petrova,1975-01-01,Male,UK,London,Investment,3,No,Direct,C1,Global Investor
C0094,Individual,Elena,Hanson,1975-01-01,Female,Canada,Berlin,Investment,3.7,Yes,Corporate,C1,Global Investor
C0095,Individual,Jack,Estes,1975-01-01,Male,Germany,Paris,Investment,4.4,No,Website,C1,Global Investor
C0096,Individual,Emmett,Miller,1975-01-01,Female,France,Ontario,Investment,3,Yes,Agency,C1,Global Investor
C0097,Individual,Aniya,Anderson,1975-01-01,Male,Belgium,Quebec,Investment,3.7,No,Client,C1,Global Investor
C0098,Individual,Kael,Hurley,1975-01-01,Female,Mexico,Brussels,Investment,4.4,Yes,Direct,C1,Global Investor
C0099,Individual,Kamden,Stewart,1975-01-01,Male,Russia,Dubai,Investment,3,No,Corporate,C1,Global Investor
C0100,Individual,Aniyah,Ali,1975-01-01,Female,Denmark,California,Investment,3.7,Yes,Website,C1,Global Investor
C0101,Individual,Simon,Bennett,1975-01-01,Male,Australia,Nevada,Investment,4.4,No,Agency,C1,Global Investor
C0102,Individual,Laurel,Benitez,1975-01-01,Female,USA,Arizona,Investment,3,Yes,Client,C2,First-Time Buyer
C0103,Individual,Trey,Strong,1975-01-01,Male,USA,Colorado,Personal Use,3.7,No,Direct,C1,Global Investor
C0104,Individual,Myah,Roman,1975-01-01,Female,USA,Oregon,Personal Use,4.4,Yes,Corporate,C2,First-Time Buyer
C0105,Individual,Nyla,Blake,1975-01-01,Male,USA,Washington,Investment,3,No,Website,C1,Global Investor
C0106,Individual,Kole,Shannon,1975-01-01,Female,USA,Texas,Personal Use,3.7,Yes,Agency,C2,First-Time Buyer
C0107,Individual,Melany,Glover,1975-01-01,Male,USA,Virginia,Personal Use,4.4,No,Client,C4,Luxury Investor
C0108,Individual,Arthur,Bray,1975-01-01,Female,USA,Georgia,Investment,3,Yes,Direct,C2,First-Time Buyer
C0109,Individual,Kamila,Collier,1975-01-01,Male,USA,New York,Personal Use,3.7,No,Corporate,C1,Global Investor
C0110,Individual,Amanda,Simon,1975-01-01,Female,UK,Florida,Investment,4.4,Yes,Website,C1,Global Investor
C0111,Individual,Erika,Steward,1975-01-01,Male,Canada,Utah,Investment,3,No,Agency,C1,Global Investor
C0112,Individual,Jakobe,Bailey,1975-01-01,Female,Germany,Ohio,Investment,3.7,Yes,Client,C1,Global Investor
C0113,Individual,Sonia,Choi,1975-01-01,Male,France,London,Investment,4.4,No,Direct,C1,Global Investor
C0114,Corporate,Bridger,Co,1975-01-01,Other,Belgium,Berlin,Investment,3,Yes,Corporate,C3,Corporate Buyer
C0115,Individual,Bennett,Michael,1975-01-01,Male,Mexico,Paris,Investment,3.7,No,Website,C1,Global Investor
C0116,Individual,Belinda,Chen,1975-01-01,Female,Russia,Ontario,Investment,4.4,Yes,Agency,C1,Global Investor
C0117,Individual,Johanna,Hogan,1975-01-01,Male,Denmark,Quebec,Investment,3,No,Client,C1,Global Investor
C0118,Individual,Jaylen,Fisher,1975-01-01,Female,Australia,Brussels,Investment,3.7,Yes,Direct,C1,Global Investor
C0119,Individual,Michael,Turner,1975-01-01,Male,USA,Dubai,Personal Use,4.4,No,Corporate,C4,Luxury Investor
C0120,Individual,Adriana,Juarez,1975-01-01,Female,USA,California,Investment,3,Yes,Website,C2,First-Time Buyer
C0121,Individual,Julio,Shaffer,1975-01-01,Male,USA,Nevada,Personal Use,3.7,No,Agency,C1,Global Investor
C0122,Individual,Warren,Leonard,1975-01-01,Female,USA,Arizona,Personal Use,4.4,Yes,Client,C2,First-Time Buyer
C0123,Individual,Luis,Pugh,1975-01-01,Male,USA,Colorado,Investment,3,No,Direct,C1,Global Investor
C0124,Individual,Mohammad,Crane,1975-01-01,Female,USA,Oregon,Personal Use,3.7,Yes,Corporate,C2,First-Time Buyer
C0125,Individual,Davion,Irwin,1975-01-01,Male,USA,Washington,Personal Use,4.4,No,Website,C4,Luxury Investor
C0126,Individual,Logan,Stout,1975-01-01,Female,USA,Texas,Investment,3,Yes,Agency,C2,First-Time Buyer
C0127,Individual,Kaylin,Simmons,1975-01-01,Male,UK,Virginia,Investment,3.7,No,Client,C1,Global Investor
C0128,Individual,Ruben,Villarreal,1975-01-01,Female,Canada,Georgia,Investment,4.4,Yes,Direct,C1,Global Investor
C0129,Individual,Gianni,Melton,1975-01-01,Male,Germany,New York,Investment,3,No,Corporate,C1,Global Investor
C0130,Individual,Emilie,Fritz,1975-01-01,Female,France,Florida,Investment,3.7,Yes,Website,C1,Global Investor
C0131,Individual,Crystal,Morrison,1975-01-01,Male,Belgium,Utah,Investment,4.4,No,Agency,C1,Global Investor
C0132,Individual,Annabel,Wyatt,1975-01-01,Female,Mexico,Ohio,Investment,3,Yes,Client,C1,Global Investor
C0133,Individual,Rachel,Robles,1975-01-01,Male,Russia,London,Investment,3.7,No,Direct,C1,Global Investor
C0134,Individual,Madalyn,Cross,1975-01-01,Female,Denmark,Berlin,Investment,4.4,Yes,Corporate,C1,Global Investor
C0135,Individual,Michelle,Mercer,1975-01-01,Male,Australia,Paris,Investment,3,No,Website,C1,Global Investor
C0136,Individual,Ezra,Cameron,1975-01-01,Female,USA,Ontario,Personal Use,3.7,Yes,Agency,C2,First-Time Buyer
C0137,Individual,Ramiro,Lozano,1975-01-01,Male,USA,Quebec,Personal Use,4.4,No,Client,C4,Luxury Investor
C0138,Individual,Emely,Oneill,1975-01-01,Female,USA,Brussels,Investment,3,Yes,Direct,C2,First-Time Buyer
C0139,Individual,Hazel,Watts,1975-01-01,Male,USA,Dubai,Personal Use,3.7,No,Corporate,C1,Global Investor
C0140,Individual,Cedric,Ayers,1975-01-01,Female,USA,California,Personal Use,4.4,Yes,Website,C2,First-Time Buyer
C0141,Individual,Dayton,Goodwin,1975-01-01,Male,USA,Nevada,Investment,3,No,Agency,C1,Global Investor
C0142,Individual,Piotr,Hatfield,1975-01-01,Female,USA,Arizona,Personal Use,3.7,Yes,Client,C2,First-Time Buyer
C0143,Individual,Memphis,Aleksandrov,1975-01-01,Male,USA,Colorado,Personal Use,4.4,No,Direct,C4,Luxury Investor
C0144,Individual,Arabella,Mcconnell,1975-01-01,Female,UK,Oregon,Investment,3,Yes,Corporate,C1,Global Investor
C0145,Individual,Sincere,Ferrell,1975-01-01,Male,Canada,Washington,Investment,3.7,No,Website,C1,Global Investor
C0146,Individual,Lara,Hansen,1975-01-01,Female,Germany,Texas,Investment,4.4,Yes,Agency,C1,Global Investor
C0147,Individual,Valentina,Carrillo,1975-01-01,Male,France,Virginia,Investment,3,No,Client,C1,Global Investor
C0148,Individual,Case,Simpson,1975-01-01,Female,Belgium,Georgia,Investment,3.7,Yes,Direct,C1,Global Investor
C0149,Individual,Van,Sanchez,1975-01-01,Male,Mexico,New York,Investment,4.4,No,Corporate,C1,Global Investor
C0150,Individual,Emmy,Charles,1975-01-01,Female,Russia,Florida,Investment,3,Yes,Website,C1,Global Investor
C0151,Individual,Colin,Singh,1975-01-01,Male,Denmark,Utah,Investment,3.7,No,Agency,C1,Global Investor
C0152,Corporate,Kenyon,Co,1975-01-01,Other,Australia,Ohio,Investment,4.4,No,Client,C3,Corporate Buyer
C0153,Individual,Parker,Stephenson,1975-01-01,Male,USA,London,Investment,3,No,Direct,C1,Global Investor
C0154,Individual,Ivan,Poole,1975-01-01,Female,USA,Berlin,Personal Use,3.7,Yes,Corporate,C2,First-Time Buyer
C0155,Individual,Larry,Bright,1975-01-01,Male,USA,Paris,Personal Use,4.4,No,Website,C4,Luxury Investor
C0156,Individual,Matthew,Hall,1975-01-01,Female,USA,Ontario,Investment,3,Yes,Agency,C2,First-Time Buyer
C0157,Individual,Mary,Weaver,1975-01-01,Male,USA,Quebec,Personal Use,3.7,No,Client,C1,Global Investor
C0158,Individual,Carolyn,Green,1975-01-01,Female,USA,Brussels,Personal Use,4.4,Yes,Direct,C2,First-Time Buyer
C0159,Individual,Pamela,Sanders,1975-01-01,Male,USA,Dubai,Investment,3,No,Corporate,C1,Global Investor
C0160,Individual,Jacob,Carter,1975-01-01,Female,USA,California,Personal Use,3.7,Yes,Website,C2,First-Time Buyer
C0161,Individual,Julie,Wilson,1975-01-01,Male,UK,Nevada,Investment,4.4,No,Agency,C1,Global Investor
C0162,Individual,Catherine,Harris,1975-01-01,Female,Canada,Arizona,Investment,3,Yes,Client,C1,Global Investor
C0163,Individual,Amber,Alexander,1975-01-01,Male,Germany,Colorado,Investment,3.7,No,Direct,C1,Global Investor
C0164,Individual,Brandon,Williams,1975-01-01,Female,France,Oregon,Investment,4.4,Yes,Corporate,C1,Global Investor
C0165,Individual,Hannah,Chavez,1975-01-01,Male,Belgium,Washington,Investment,3,No,Website,C1,Global Investor
C0166,Individual,Sarah,Peterson,1975-01-01,Female,Mexico,Texas,Investment,3.7,Yes,Agency,C1,Global Investor
C0167,Individual,Laura,Kim,1975-01-01,Male,Russia,Virginia,Investment,4.4,No,Client,C1,Global Investor
C0168,Individual,Ashley,Martin,1975-01-01,Female,Denmark,Georgia,Investment,3,Yes,Direct,C1,Global Investor
C0169,Individual,Lawrence,Adams,1975-01-01,Male,Australia,New York,Investment,3.7,No,Corporate,C1,Global Investor
C0170,Individual,Virginia,Johnson,1975-01-01,Female,USA,Florida,Personal Use,4.4,Yes,Website,C2,First-Time Buyer
C0171,Individual,Nicholas,Moore,1975-01-01,Male,USA,Utah,Investment,3,No,Agency,C1,Global Investor
C0172,Individual,Peter,Campbell,1975-01-01,Female,USA,Ohio,Personal Use,3.7,Yes,Client,C2,First-Time Buyer
C0173,Individual,Andrea,Brooks,1975-01-01,Male,USA,London,Personal Use,4.4,No,Direct,C4,Luxury Investor
C0174,Individual,Carol,Pierce,1975-01-01,Female,USA,Berlin,Investment,3,Yes,Corporate,C2,First-Time Buyer
C0175,Individual,Cheryl,Roberts,1975-01-01,Male,USA,Paris,Personal Use,3.7,No,Website,C1,Global Investor
C0176,Individual,Jose,Gray,1975-01-01,Female,USA,Ontario,Personal Use,4.4,Yes,Agency,C2,First-Time Buyer
C0177,Individual,Anna,James,1975-01-01,Male,USA,Quebec,Investment,3,No,Client,C1,Global Investor
C0178,Individual,Karen,Price,1975-01-01,Female,UK,Brussels,Investment,3.7,Yes,Direct,C1,Global Investor
C0179,Individual,Margaret,Evans,1975-01-01,Male,Canada,Dubai,Investment,4.4,No,Corporate,C1,Global Investor
C0180,Individual,Sharon,Wood,1975-01-01,Female,Germany,California,Investment,3,Yes,Website,C1,Global Investor
C0181,Individual,Jonathan,Foster,1975-01-01,Male,France,Nevada,Investment,3.7,No,Agency,C1,Global Investor
C0182,Individual,Sean,Phillips,1975-01-01,Female,Belgium,Arizona,Investment,4.4,Yes,Client,C1,Global Investor
C0183,Individual,Alexander,Stone,1975-01-01,Male,Mexico,Colorado,Investment,3,No,Direct,C1,Global Investor
C0184,Individual,Lauren,Richardson,1975-01-01,Female,Russia,Oregon,Investment,3.7,Yes,Corporate,C1,Global Investor
C0185,Individual,Christine,Reyes,1975-01-01,Male,Denmark,Washington,Investment,4.4,No,Website,C1,Global Investor
C0186,Individual,Joyce,Jordan,1975-01-01,Female,Australia,Texas,Investment,3,Yes,Agency,C1,Global Investor
C0187,Individual,Kelly,Owens,1975-01-01,Male,USA,Virginia,Personal Use,3.7,No,Client,C1,Global Investor
C0188,Individual,Nancy,Rogers,1975-01-01,Female,USA,Georgia,Personal Use,4.4,Yes,Direct,C2,First-Time Buyer
C0189,Individual,Kyle,Hughes,1975-01-01,Male,USA,New York,Investment,3,No,Corporate,C1,Global Investor
C0190,Corporate,Abdiel,Co,1975-01-01,Other,USA,Florida,Investment,3.7,No,Website,C3,Corporate Buyer
C0191,Individual,Janice,Patterson,1975-01-01,Male,USA,Utah,Personal Use,4.4,No,Agency,C4,Luxury Investor
C0192,Individual,Amy,Baker,1975-01-01,Female,USA,Ohio,Investment,3,Yes,Client,C2,First-Time Buyer
C0193,Individual,Jason,Morales,1975-01-01,Male,USA,London,Personal Use,3.7,No,Direct,C1,Global Investor
C0194,Individual,Lauren,Collins,1975-01-01,Female,USA,Berlin,Personal Use,4.4,Yes,Corporate,C2,First-Time Buyer
C0195,Individual,Albert,Montgomery,1975-01-01,Male,UK,Paris,Investment,3,No,Website,C1,Global Investor
C0196,Individual,Deborah,Scott,1975-01-01,Female,Canada,Ontario,Investment,3.7,Yes,Agency,C1,Global Investor
C0197,Individual,Shirley,Smith,1975-01-01,Male,Germany,Quebec,Investment,4.4,No,Client,C1,Global Investor
C0198,Individual,William,King,1975-01-01,Female,France,Brussels,Investment,3,Yes,Direct,C1,Global Investor
C0199,Individual,Walter,Jackson,1975-01-01,Male,Belgium,Dubai,Investment,3.7,No,Corporate,C1,Global Investor
C0200,Individual,Christopher,Griffin,1975-01-01,Female,Mexico,California,Investment,4.4,Yes,Website,C1,Global Investor
C0201,Individual,Patrick,Young,1975-01-01,Male,Russia,Nevada,Investment,3,No,Agency,C1,Global Investor
C0202,Individual,Nathan,Thomas,1975-01-01,Female,Denmark,Arizona,Investment,3.7,Yes,Client,C1,Global Investor
C0203,Individual,Evelyn,Reed,1975-01-01,Male,Australia,Colorado,Investment,4.4,No,Direct,C1,Global Investor
C0204,Individual,Julia,White,1975-01-01,Female,USA,Oregon,Investment,3,Yes,Corporate,C2,First-Time Buyer
C0205,Individual,Ronald,Watson,1975-01-01,Male,USA,Washington,Personal Use,3.7,No,Website,C1,Global Investor
C0206,Individual,Megan,Peterson,1975-01-01,Female,USA,Texas,Personal Use,4.4,Yes,Agency,C2,First-Time Buyer
C0207,Individual,Kenneth,Walker,1975-01-01,Male,USA,Virginia,Investment,3,No,Client,C1,Global Investor
C0208,Individual,Gerald,Ward,1975-01-01,Female,USA,Georgia,Personal Use,3.7,Yes,Direct,C2,First-Time Buyer
C0209,Individual,Stephen,Liu,1975-01-01,Male,USA,New York,Personal Use,4.4,No,Corporate,C4,Luxury Investor
C0210,Individual,Elizabeth,Oconnor,1975-01-01,Female,USA,Florida,Investment,3,Yes,Website,C2,First-Time Buyer
C0211,Individual,Betty,Gay,1975-01-01,Male,USA,Utah,Personal Use,3.7,No,Agency,C1,Global Investor
C0212,Individual,Sara,Gross,1975-01-01,Female,UK,Ohio,Investment,4.4,Yes,Client,C1,Global Investor
C0213,Individual,Anthony,Co,1975-01-01,Male,Canada,London,Investment,3,No,Direct,C1,Global Investor
C0214,Individual,Emma,Wright,1975-01-01,Female,Germany,Berlin,Investment,3.7,Yes,Corporate,C1,Global Investor
C0215,Individual,Rebecca,Faulkner,1975-01-01,Male,France,Paris,Investment,4.4,No,Website,C1,Global Investor
C0216,Individual,Billy,Olsen,1975-01-01,Female,Belgium,Ontario,Investment,3,Yes,Agency,C1,Global Investor
C0217,Individual,Melissa,Mullins,1975-01-01,Male,Mexico,Quebec,Investment,3.7,No,Client,C1,Global Investor
C0218,Individual,Aaron,Navarro,1975-01-01,Female,Russia,Brussels,Investment,4.4,Yes,Direct,C1,Global Investor
C0219,Individual,Judy,Guerra,1975-01-01,Male,Denmark,Dubai,Investment,3,No,Corporate,C1,Global Investor
C0220,Individual,Danielle,Lucero,1975-01-01,Female,Australia,California,Investment,3.7,Yes,Website,C1,Global Investor
C0221,Individual,David,Hickman,1975-01-01,Male,USA,Nevada,Personal Use,4.4,No,Agency,C4,Luxury Investor
C0222,Individual,Paul,Oconnell,1975-01-01,Female,USA,Arizona,Investment,3,Yes,Client,C2,First-Time Buyer
C0223,Individual,Raymond,Porter,1975-01-01,Male,USA,Colorado,Personal Use,3.7,No,Direct,C1,Global Investor
C0224,Individual,Gloria,Lynn,1975-01-01,Female,USA,Oregon,Personal Use,4.4,Yes,Corporate,C2,First-Time Buyer
C0225,Individual,Jordan,Curry,1975-01-01,Male,USA,Washington,Investment,3,No,Website,C1,Global Investor
C0226,Individual,Heather,Sharp,1975-01-01,Female,USA,Texas,Personal Use,3.7,Yes,Agency,C2,First-Time Buyer
C0227,Individual,Katherine,Obrien,1975-01-01,Male,USA,Virginia,Personal Use,4.4,No,Client,C4,Luxury Investor
C0228,Corporate,Kamd,Co,1975-01-01,Other,USA,Georgia,Investment,3,Yes,Direct,C3,Corporate Buyer
C0229,Individual,Susan,Taylor,1975-01-01,Male,UK,New York,Investment,3.7,No,Corporate,C1,Global Investor
C0230,Individual,Noah,Terrell,1975-01-01,Female,Canada,Florida,Investment,4.4,Yes,Website,C1,Global Investor
C0231,Individual,Joan,Gibson,1975-01-01,Male,Germany,Utah,Investment,3,No,Agency,C1,Global Investor
